,Student ID,student_name,gender,grade,school_name,reading_score,math_score,reading_pass,math_pass,School ID,type,size,budget,bps
0,0,Paul Bradley,M,9th,Huang High School,66,79,0,1,0,District,2917,1910635,655
1,1,Victor Smith,M,12th,Huang High School,94,61,1,0,0,District,2917,1910635,655
2,2,Kevin Rodriguez,M,12th,Huang High School,90,60,1,0,0,District,2917,1910635,655
3,3,Dr. Richard Scott,M,12th,Huang High School,67,58,0,0,0,District,2917,1910635,655
4,4,Bonnie Ray,F,9th,Huang High School,97,84,1,1,0,District,2917,1910635,655
5,5,Bryan Miranda,M,9th,Huang High School,94,94,1,1,0,District,2917,1910635,655
6,6,Sheena Carter,F,11th,Huang High School,82,80,1,1,0,District,2917,1910635,655
7,7,Nicole Baker,F,12th,Huang High School,96,69,1,0,0,District,2917,1910635,655
8,8,Michael Roth,M,10th,Huang High School,95,87,1,1,0,District,2917,1910635,655
9,9,Matthew Greene,M,10th,Huang High School,96,84,1,1,0,District,2917,1910635,655
10,10,Andrew Alexander,M,10th,Huang High School,90,70,1,1,0,District,2917,1910635,655
11,11,Daniel Cooper,M,10th,Huang High School,78,77,1,1,0,District,2917,1910635,655
12,12,Brittney Walker,F,9th,Huang High School,64,79,0,1,0,District,2917,1910635,655
13,13,William Long,M,9th,Huang High School,71,79,1,1,0,District,2917,1910635,655
14,14,Tammy Hebert,F,10th,Huang High School,85,67,1,0,0,District,2917,1910635,655
15,15,Dr. Jordan Carson,M,11th,Huang High School,94,88,1,1,0,District,2917,1910635,655
16,16,Donald Zamora,M,9th,Huang High School,88,55,1,0,0,District,2917,1910635,655
17,17,Kimberly Santiago,F,9th,Huang High School,74,75,1,1,0,District,2917,1910635,655
18,18,Kevin Stevens,M,9th,Huang High School,64,69,0,0,0,District,2917,1910635,655
19,19,Brandi Lyons,F,9th,Huang High School,89,80,1,1,0,District,2917,1910635,655
20,20,Lisa Davis,F,10th,Huang High School,91,89,1,1,0,District,2917,1910635,655
21,21,Kristen Lopez,F,10th,Huang High School,90,77,1,1,0,District,2917,1910635,655
22,22,Kimberly Stewart,F,11th,Huang High School,99,84,1,1,0,District,2917,1910635,655
23,23,Christopher Parker,M,9th,Huang High School,81,68,1,0,0,District,2917,1910635,655
24,24,Chelsea Griffith,F,11th,Huang High School,85,73,1,1,0,District,2917,1910635,655
25,25,Cesar Morris,M,9th,Huang High School,92,70,1,1,0,District,2917,1910635,655
26,26,Melanie Decker,F,9th,Huang High School,63,85,0,1,0,District,2917,1910635,655
27,27,Tracey Oconnor,F,10th,Huang High School,80,58,1,0,0,District,2917,1910635,655
28,28,Kelly James,F,11th,Huang High School,73,55,1,0,0,District,2917,1910635,655
29,29,Nicole Brown,F,12th,Huang High School,90,88,1,1,0,District,2917,1910635,655
30,30,Bobby Harris,M,9th,Huang High School,94,99,1,1,0,District,2917,1910635,655
31,31,Brian Fernandez,M,10th,Huang High School,97,65,1,0,0,District,2917,1910635,655
32,32,Candace Phelps,F,11th,Huang High School,93,90,1,1,0,District,2917,1910635,655
33,33,Amy Gonzalez,F,12th,Huang High School,95,68,1,0,0,District,2917,1910635,655
34,34,Steven Green,M,11th,Huang High School,65,74,0,1,0,District,2917,1910635,655
35,35,Benjamin Carlson,M,10th,Huang High School,99,61,1,0,0,District,2917,1910635,655
36,36,Kevin Bailey,M,10th,Huang High School,76,76,1,1,0,District,2917,1910635,655
37,37,Jesse Newton,M,10th,Huang High School,63,66,0,0,0,District,2917,1910635,655
38,38,Kimberly Mercado,F,12th,Huang High School,73,77,1,1,0,District,2917,1910635,655
39,39,Gregory Roberts,M,9th,Huang High School,80,61,1,0,0,District,2917,1910635,655
40,40,Matthew Mayer,M,9th,Huang High School,79,69,1,0,0,District,2917,1910635,655
41,41,Jennifer Parks,F,11th,Huang High School,85,95,1,1,0,District,2917,1910635,655
42,42,John Carlson,M,9th,Huang High School,65,89,0,1,0,District,2917,1910635,655
43,43,Megan Roberts,F,9th,Huang High School,66,90,0,1,0,District,2917,1910635,655
44,44,Debra Flores,F,10th,Huang High School,75,66,1,0,0,District,2917,1910635,655
45,45,Heidi Jackson,F,11th,Huang High School,64,93,0,1,0,District,2917,1910635,655
46,46,Denise Bradford,F,12th,Huang High School,73,59,1,0,0,District,2917,1910635,655
47,47,Ellen Brown,F,11th,Huang High School,77,81,1,1,0,District,2917,1910635,655
48,48,Amy Perkins,F,9th,Huang High School,76,66,1,0,0,District,2917,1910635,655
49,49,Natalie Mitchell,F,10th,Huang High School,73,93,1,1,0,District,2917,1910635,655
50,50,Tiffany Gutierrez,F,10th,Huang High School,82,95,1,1,0,District,2917,1910635,655
51,51,Jennifer Hess,F,11th,Huang High School,91,56,1,0,0,District,2917,1910635,655
52,52,Christine Fletcher,F,12th,Huang High School,69,78,0,1,0,District,2917,1910635,655
53,53,Jon Smith,M,9th,Huang High School,96,69,1,0,0,District,2917,1910635,655
54,54,Tracey Yates,F,9th,Huang High School,83,68,1,0,0,District,2917,1910635,655
55,55,Jerry Gordon,M,12th,Huang High School,95,71,1,1,0,District,2917,1910635,655
56,56,Michael Cox,M,11th,Huang High School,72,72,1,1,0,District,2917,1910635,655
57,57,Madeline Snyder MD,F,9th,Huang High School,97,56,1,0,0,District,2917,1910635,655
58,58,Allison King,F,11th,Huang High School,74,84,1,1,0,District,2917,1910635,655
59,59,Theresa Meyer,F,9th,Huang High School,88,70,1,1,0,District,2917,1910635,655
60,60,Jared Wood,M,9th,Huang High School,63,89,0,1,0,District,2917,1910635,655
61,61,Eric Maynard,M,9th,Huang High School,64,95,0,1,0,District,2917,1910635,655
62,62,Mark Owens,M,11th,Huang High School,74,65,1,0,0,District,2917,1910635,655
63,63,Ronnie Conley,M,11th,Huang High School,77,61,1,0,0,District,2917,1910635,655
64,64,Kimberly Davis,F,12th,Huang High School,87,57,1,0,0,District,2917,1910635,655
65,65,Amy Mitchell,F,11th,Huang High School,74,60,1,0,0,District,2917,1910635,655
66,66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,1,1,0,District,2917,1910635,655
67,67,Elizabeth Henderson,F,12th,Huang High School,70,60,1,0,0,District,2917,1910635,655
68,68,James Lopez,M,12th,Huang High School,65,82,0,1,0,District,2917,1910635,655
69,69,Michael Morgan,M,11th,Huang High School,75,89,1,1,0,District,2917,1910635,655
70,70,Angela Francis,F,12th,Huang High School,70,60,1,0,0,District,2917,1910635,655
71,71,Breanna Taylor,F,10th,Huang High School,93,68,1,0,0,District,2917,1910635,655
72,72,Jason Johnson,M,12th,Huang High School,82,65,1,0,0,District,2917,1910635,655
73,73,Kyle Martin,M,10th,Huang High School,72,94,1,1,0,District,2917,1910635,655
74,74,Dr. Scott Gill,M,10th,Huang High School,85,85,1,1,0,District,2917,1910635,655
75,75,Lisa Long,F,10th,Huang High School,87,62,1,0,0,District,2917,1910635,655
76,76,Erin Liu,F,9th,Huang High School,78,76,1,1,0,District,2917,1910635,655
77,77,Marcus Richards,M,12th,Huang High School,83,76,1,1,0,District,2917,1910635,655
78,78,Jason Thompson,M,12th,Huang High School,99,57,1,0,0,District,2917,1910635,655
79,79,Elizabeth Mckinney,F,9th,Huang High School,74,81,1,1,0,District,2917,1910635,655
80,80,Jessica Bailey,F,10th,Huang High School,67,70,0,1,0,District,2917,1910635,655
81,81,Lisa Frye,F,12th,Huang High School,94,73,1,1,0,District,2917,1910635,655
82,82,Lindsey Baker,F,11th,Huang High School,81,57,1,0,0,District,2917,1910635,655
83,83,Lisa Ramirez,F,12th,Huang High School,64,76,0,1,0,District,2917,1910635,655
84,84,Joseph Butler,M,10th,Huang High School,77,63,1,0,0,District,2917,1910635,655
85,85,Tina Lynch,F,10th,Huang High School,94,60,1,0,0,District,2917,1910635,655
86,86,Leah Benitez,F,10th,Huang High School,93,84,1,1,0,District,2917,1910635,655
87,87,Elizabeth Parker,F,10th,Huang High School,85,56,1,0,0,District,2917,1910635,655
88,88,Melissa Hunter,F,10th,Huang High School,90,70,1,1,0,District,2917,1910635,655
89,89,Miss Madison Everett,F,11th,Huang High School,70,78,1,1,0,District,2917,1910635,655
90,90,Ronald Garcia,M,9th,Huang High School,99,86,1,1,0,District,2917,1910635,655
91,91,Mark Cherry,M,10th,Huang High School,96,98,1,1,0,District,2917,1910635,655
92,92,Ryan Stokes,M,9th,Huang High School,75,72,1,1,0,District,2917,1910635,655
93,93,Isaiah Maldonado,M,10th,Huang High School,84,91,1,1,0,District,2917,1910635,655
94,94,Micheal Dennis,M,12th,Huang High School,86,61,1,0,0,District,2917,1910635,655
95,95,Kevin Martinez,M,11th,Huang High School,89,58,1,0,0,District,2917,1910635,655
96,96,Jessica Smith,F,9th,Huang High School,77,72,1,1,0,District,2917,1910635,655
97,97,Dawn Trujillo,F,11th,Huang High School,82,87,1,1,0,District,2917,1910635,655
98,98,Virginia Ramirez MD,F,10th,Huang High School,99,89,1,1,0,District,2917,1910635,655
99,99,Marc Hernandez,M,10th,Huang High School,87,63,1,0,0,District,2917,1910635,655
100,100,Jose Gonzalez,M,12th,Huang High School,69,67,0,0,0,District,2917,1910635,655
101,101,Jason Dennis,M,10th,Huang High School,72,57,1,0,0,District,2917,1910635,655
102,102,Gary Morris,M,11th,Huang High School,74,58,1,0,0,District,2917,1910635,655
103,103,William Mcdonald,M,12th,Huang High School,86,74,1,1,0,District,2917,1910635,655
104,104,Michael Savage,M,9th,Huang High School,75,66,1,0,0,District,2917,1910635,655
105,105,Alexis Todd,F,11th,Huang High School,82,95,1,1,0,District,2917,1910635,655
106,106,David Hansen,M,10th,Huang High School,76,86,1,1,0,District,2917,1910635,655
107,107,Steven Mendez,M,12th,Huang High School,68,88,0,1,0,District,2917,1910635,655
